,日,4月_メス,4月_オス,5月_メス,5月_オス,6月_メス,6月_オス,7月_メス,7月_オス,8月_メス,8月_オス,9月_メス,9月_オス,10月_メス,10月_オス,11月_メス,11月_オス
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0,0.0
4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,1.0,1.0,0.0,0.0
5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,25.0,21.0,8.0,4.0,0.0,0.0
6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,9.0,8.0,25.0,14.0,0.0,0.0
7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,6.0,7.0,4.0,10.0,0.0,0.0
8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,35.0,42.0,5.0,3.0,0.0,0.0
9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,28.0,32.0,29.0,1.0,0.0,0.0,0.0
10,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,100.0,57.0,1.0,1.0,0.0,0.0
11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,24.0,4.0,4.0,0.0,0.0
12,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,14.0,41.0,45.0,1.0,3.0,0.0,0.0
14,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,23.0,19.0,1.0,1.0,0.0,0.0
15,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,2.0,13.0,0.0,0.0,0.0,0.0
16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,146.0,8.0,17.0,0.0,1.0,0.0,0.0
17,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,41.0,2.0,6.0,1.0,1.0,0.0,0.0
18,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,7.0,9.0,0.0,0.0,0.0,0.0
19,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,17.0,10.0,4.0,5.0,11.0,11.0,0.0,0.0
20,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,12.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0
21,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,64.0,67.0,2.0,2.0,0.0,0.0,0.0,0.0
22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,119.0,127.0,1.0,4.0,0.0,0.0,0.0,0.0
23,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,395.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0
25,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,95.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
26,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,6.0,39.0,44.0,1.0,1.0,0.0,0.0
27,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,41.0,18.0,16.0,0.0,0.0,0.0,0.0
28,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,83.0,2.0,2.0,0.0,0.0,0.0,0.0
29,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,55.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
30,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,5.0,33.0,31.0,0.0,0.0,0.0,0.0
31,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,51.0,28.0,23.0,0.0,0.0,0.0,0.0
32,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,20.0,17.0,0.0,0.0,0.0,0.0
33,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0
34,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
35,31.0,,,0.0,0.0,,,2.0,0.0,19.0,14.0,,,0.0,0.0,,
